model,Body_Type,transmission,No_of_owners,centralVariantId,oem,modelYear,Mileage,Fuel_Type,Kilometer,price,City,Car_Age
i10,Hatchback,Manual,1,1568,Hyundai,2010,20.36,Petrol,14424,270000,Chennai,14
Tigor,Sedan,Automatic,2,6641,Tata,2018,20.3,Petrol,39542,557000,Chennai,6
Grand,Hatchback,Manual,2,1524,Hyundai,2016,18.9,Petrol,114507,441000,Chennai,8
Punto,Hatchback,Manual,1,834,Fiat,2015,20.3,Diesel,67129,340000,Chennai,9
Polo,Hatchback,Manual,1,7745,Volkswagen,2021,18.24,Petrol,35405,1000000,Chennai,3
Polo,Hatchback,Manual,1,1953,Volkswagen,2010,22.07,Diesel,62992,295000,Chennai,14
Santro,Hatchback,Manual,1,1711,Hyundai,2009,17.92,Petrol,94241,165000,Chennai,15
Indica,Hatchback,Manual,2,2536,Tata,2013,25,Diesel,101423,149000,Chennai,11
Etios,Sedan,Manual,1,2190,Toyota,2013,17.6,Petrol,21647,475000,Chennai,11
Micra,Hatchback,Manual,4,3304,Nissan,2010,18.06,Petrol,78210,135000,Chennai,14
Grand,Hatchback,Manual,1,1549,Hyundai,2015,18.9,Petrol,39922,430000,Chennai,9
Wagon,Hatchback,Manual,2,6740,Maruti,2017,21.79,Petrol,61372,375000,Chennai,7
i10,Hatchback,Manual,1,1567,Hyundai,2008,19.81,Petrol,60250,145000,Chennai,16
Grand,Hatchback,Automatic,3,1544,Hyundai,2014,18.9,Petrol,91617,398000,Chennai,10
i20,Hatchback,Automatic,1,8585,Hyundai,2021,20.25,Petrol,23899,1076000,Chennai,3
Swift,Hatchback,Manual,1,7084,Maruti,2015,21.21,Petrol,89000,430000,Chennai,9
Celerio,Hatchback,Automatic,2,6050,Maruti,2017,23.1,Petrol,97445,400000,Chennai,7
i10,Hatchback,Manual,2,1568,Hyundai,2012,20.36,Petrol,69680,287000,Chennai,12
i20,Hatchback,Manual,1,5703,Hyundai,2014,18.6,Petrol,87431,495000,Chennai,10
EON,Hatchback,Manual,1,1502,Hyundai,2015,21.1,Petrol,98204,298000,Chennai,9
Mobilio,MUV,Manual,1,1359,Honda,2014,24.2,Diesel,161471,425000,Chennai,10
City,Sedan,Manual,2,1264,Honda,2012,16.8,Petrol,108338,430999,Chennai,12
i20,Hatchback,Manual,1,1483,Hyundai,2016,18.6,Petrol,47045,577000,Chennai,8
Tigor,Sedan,Automatic,1,6098,Tata,2018,20.3,Petrol,18079,600000,Chennai,6
i10,Hatchback,Manual,1,1567,Hyundai,2009,19.81,Petrol,44985,225000,Chennai,15
Ciaz,Sedan,Manual,1,4001,Maruti,2017,26.21,Diesel,84095,675000,Chennai,7
Compass,SUV,Manual,1,6874,Jeep,2020,17.1,Diesel,50520,1475000,Chennai,4
Renault,Sedan,Manual,3,4761,Mahindra Renault,2010,19.2,Diesel,82124,145000,Chennai,14
Santro,Hatchback,Manual,2,1720,Hyundai,2005,17,Petrol,91644,100000,Chennai,19
Santro,Hatchback,Manual,4,1720,Hyundai,2005,17,Petrol,100658,70000,Chennai,19
Amaze,Sedan,Automatic,1,1158,Honda,2018,18.1,Petrol,3228,750000,Chennai,6
Indigo,Sedan,Manual,1,2712,Tata,2010,15.64,Petrol,41516,150000,Chennai,14
Beat,Hatchback,Manual,2,440,Chevrolet,2012,25.44,Diesel,86147,195000,Chennai,12
City,Sedan,Manual,3,1247,Honda,2010,17,Petrol,101566,364000,Chennai,14
Rapid,Sedan,Manual,1,3141,Skoda,2018,21.13,Diesel,73139,729000,Chennai,6
Amaze,Sedan,Automatic,1,7449,Honda,2019,21,Diesel,16787,840000,Chennai,5
Rapid,Sedan,Automatic,2,3126,Skoda,2016,14.3,Petrol,99715,680000,Chennai,8
GO,MUV,Manual,1,7854,Datsun,2018,19.02,Petrol,44386,413999,Chennai,6
Polo,Hatchback,Manual,1,1959,Volkswagen,2014,15.26,Petrol,56200,380000,Chennai,10
GO,MUV,Manual,1,7854,Datsun,2018,19.02,Petrol,17003,428000,Chennai,6
Grand,Hatchback,Automatic,1,1544,Hyundai,2014,18.9,Petrol,44632,465000,Chennai,10
Creta,SUV,Automatic,1,1452,Hyundai,2018,13,Petrol,32091,1034000,Chennai,6
Triber,MUV,Automatic,2,6996,Renault,2021,18.2,Petrol,22740,772000,Chennai,3
GLE,SUV,Automatic,2,4651,Mercedes-Benz,2016,17.9,Diesel,98000,3500000,Chennai,8
Ameo,Sedan,Manual,1,1885,Volkswagen,2018,17,Petrol,95495,450000,Chennai,6
Verna,Sedan,Manual,2,1815,Hyundai,2010,17.01,Petrol,122533,210000,Chennai,14
Swift,Sedan,Manual,1,7709,Maruti,2013,22.41,Petrol,55320,409999,Chennai,11
i20,Hatchback,Manual,1,1656,Hyundai,2012,21.9,Diesel,68459,325000,Chennai,12
Amaze,Sedan,Manual,1,7440,Honda,2016,18.6,Petrol,14195,450000,Chennai,8
i20,Hatchback,Manual,1,1597,Hyundai,2012,18.6,Petrol,67900,280000,Chennai,12
Wagon,Hatchback,Automatic,1,4319,Maruti,2017,20.51,Petrol,47756,409999,Chennai,7
Grand,Hatchback,Automatic,1,1544,Hyundai,2016,18.9,Petrol,42856,520000,Chennai,8
Polo,Hatchback,Manual,1,7142,Volkswagen,2014,20.14,Diesel,43000,560000,Chennai,10
Yaris,Sedan,Manual,2,7283,Toyota,2019,17.1,Petrol,27652,702000,Chennai,5
Triber,MUV,Manual,1,7419,Renault,2021,20,Petrol,23539,656000,Chennai,3
Ciaz,Sedan,Manual,1,4004,Maruti,2015,20.73,Petrol,50000,525000,Chennai,9
Alto,Hatchback,Manual,2,10332,Maruti,2017,24.39,Petrol,18861,357000,Chennai,7
Swift,Hatchback,Manual,1,4175,Maruti,2017,20.4,Petrol,41138,512000,Chennai,7
i10,Hatchback,Manual,1,1567,Hyundai,2012,19.81,Petrol,55039,250000,Chennai,12
i20,Hatchback,Manual,2,6812,Hyundai,2018,18.6,Petrol,41361,700000,Chennai,6
Ecosport,SUV,Manual,1,6091,Ford,2015,23,Diesel,81037,535000,Chennai,9
Jazz,Hatchback,Automatic,2,1340,Honda,2017,19,Petrol,28897,641000,Chennai,7
KUV,SUV,Manual,2,3563,Mahindra,2016,18.15,Petrol,46308,339000,Chennai,8
Santro,Hatchback,Manual,1,1742,Hyundai,2009,19.18624891,Petrol,80033,170000,Chennai,15
Cooper,SUV,Automatic,2,6273,Mini,2015,19.19,Diesel,15000,2650000,Chennai,9
Wagon,Hatchback,Manual,1,7050,Maruti,2012,20.52,Petrol,100056,310000,Chennai,12
i20,Hatchback,Manual,1,7473,Hyundai,2018,18.6,Petrol,90062,725000,Chennai,6
Optra,Sedan,Manual,3,517,Chevrolet,2005,17.4,Petrol,80030,114999,Chennai,19
TUV,SUV,Automatic,1,3756,Mahindra,2016,18.49,Diesel,90042,645000,Chennai,8
Wagon,Hatchback,Manual,1,7050,Maruti,2017,20.52,Petrol,78030,440000,Chennai,7
X3,SUV,Automatic,2,353,BMW,2013,16.09,Diesel,55000,1650000,Chennai,11
Santa,SUV,Automatic,1,1673,Hyundai,2014,13.01,Diesel,100049,975000,Chennai,10
Tavera,SUV,Manual,1,696,Chevrolet,2010,14.8,Diesel,138033,535000,Chennai,14
GO,MUV,Manual,1,7854,Datsun,2018,19.02,Petrol,14126,433000,Chennai,6
Duster,SUV,Manual,1,7963,Renault,2020,16.42,Petrol,35464,1044999,Chennai,4
Ssangyong,SUV,Manual,2,5163,Mahindra Ssangyong,2013,12.83,Diesel,100036,550000,Chennai,11
Grand,Hatchback,Manual,3,1549,Hyundai,2015,18.9,Petrol,55161,411000,Chennai,9
Santro,Hatchback,Automatic,1,6670,Hyundai,2019,20.3,Petrol,33771,518000,Chennai,5
Enjoy,MUV,Manual,1,497,Chevrolet,2016,18.2,Diesel,75011,525000,Chennai,8
Verna,Sedan,Manual,1,1775,Hyundai,2016,17.01,Petrol,41659,647000,Chennai,8
S,Sedan,Automatic,2,2059,Volvo,2012,16,Diesel,126055,925000,Chennai,12
Tigor,Sedan,Manual,1,6639,Tata,2020,20.3,Petrol,19935,645000,Chennai,4
RediGO,Hatchback,Manual,1,5237,Datsun,2016,22.7,Petrol,61126,252999,Chennai,8
Pajero,SUV,Manual,2,5852,Mitsubishi,2012,13.5,Diesel,100043,1025000,Chennai,12
Pajero,SUV,Manual,1,3435,Mitsubishi,2013,13.5,Diesel,70034,1175000,Chennai,11
Polo,Hatchback,Manual,2,1940,Volkswagen,2018,20.14,Diesel,90068,600000,Chennai,6
Xcent,Sedan,Manual,1,1867,Hyundai,2015,19.1,Petrol,86694,405000,Chennai,9
C-Class,Sedan,Automatic,2,4691,Mercedes-Benz,2011,15.8,Diesel,86000,1040000,Chennai,13
Ciaz,Sedan,Manual,1,4005,Maruti,2015,20.73,Petrol,79399,585000,Chennai,9
A4,Sedan,Automatic,1,13,Audi,2012,16.55,Diesel,86038,1175000,Chennai,12
Wagon,Hatchback,Manual,1,4333,Maruti,2015,18.9,Petrol,69863,385000,Chennai,9
Innova,MUV,Manual,1,7313,Toyota,2017,13.68,Diesel,2000022,1750000,Chennai,7
i10,Hatchback,Manual,1,1568,Hyundai,2013,20.36,Petrol,133727,310000,Chennai,11
Creta,SUV,Automatic,1,1452,Hyundai,2016,13,Petrol,85781,916000,Chennai,8
Altroz,Hatchback,Manual,1,10223,Tata,2022,23.64,Diesel,8837,800000,Chennai,2
Corolla,Sedan,Manual,2,2162,Toyota,2011,21.43,Diesel,120057,475000,Chennai,13
Glanza,Hatchback,Manual,1,10236,Toyota,2019,22.35,Petrol,48527,699000,Chennai,5
WR-V,SUV,Manual,2,5670,Honda,2017,25.5,Diesel,71096,714000,Chennai,7
Amaze,Sedan,Manual,1,7443,Honda,2020,18.6,Petrol,22000,750000,Chennai,4
Grand,Hatchback,Manual,1,7091,Hyundai,2020,20.7,Petrol,110054,626000,Chennai,4
City,Sedan,Manual,1,1279,Honda,2012,17.4,Petrol,85028,465000,Chennai,12
City,Sedan,Manual,1,7904,Honda,2021,18.6,Petrol,10990,1268000,Chennai,3
Elantra,Sedan,Manual,2,5381,Hyundai,2017,14.59,Petrol,115484,805000,Chennai,7
Yeti,SUV,Manual,2,3231,Skoda,2011,17.67,Diesel,80062,475000,Chennai,13
Rapid,Sedan,Manual,1,3169,Skoda,2012,20.5,Diesel,80039,375000,Chennai,12
S-Presso,Hatchback,Manual,1,7173,Maruti,2020,21.7,Petrol,16473,509999,Chennai,4
X5,SUV,Automatic,1,6941,BMW,2022,11.24,Petrol,8000,9350000,Chennai,2
Baleno,Hatchback,Automatic,1,3960,Maruti,2017,21.4,Petrol,53819,660000,Chennai,7
Scorpio,MUV,Manual,2,3719,Mahindra,2011,15.4,Diesel,100060,495000,Chennai,13
Vento,Sedan,Automatic,1,2001,Volkswagen,2017,18.19,Petrol,93000,790000,Chennai,7
Ertiga,MUV,Manual,1,4050,Maruti,2013,20.77,Diesel,82000,690000,Chennai,11
5,Sedan,Automatic,1,5871,BMW,2013,18.12,Diesel,100057,1450000,Chennai,11
Ameo,Sedan,Manual,1,1882,Volkswagen,2016,21.66,Diesel,100425,570000,Chennai,8
Verna,Sedan,Manual,1,5961,Hyundai,2018,22,Diesel,102497,827000,Chennai,6
Etios,Sedan,Manual,2,2190,Toyota,2011,17.6,Petrol,97942,345000,Chennai,13
Polo,Hatchback,Manual,1,7140,Volkswagen,2019,18.78,Petrol,78423,650000,Chennai,5
Alto,Hatchback,Manual,2,7073,Maruti,2014,22.05,Petrol,43088,244000,Chennai,10
Kiger,SUV,Manual,1,8358,Renault,2021,20.5,Petrol,14103,815000,Chennai,3
C-Class,Sedan,Automatic,1,4691,Mercedes-Benz,2011,15.8,Diesel,74000,1100000,Chennai,13
Urban,SUV,Automatic,1,7974,Toyota,2022,18.76,Petrol,41285,1150000,Chennai,2
Figo,Hatchback,Manual,3,1046,Ford,2012,15.6,Petrol,76554,210000,Chennai,12
GO,MUV,Manual,1,7854,Datsun,2018,19.02,Petrol,25119,391000,Chennai,6
Taigun,SUV,Manual,1,8610,Volkswagen,2022,20.08,Petrol,4977,1529000,Chennai,2
XC40,SUV,Automatic,1,9320,Volvo,2023,12.18,Petrol,10000,5300000,Chennai,1
New,Sedan,Automatic,3,1144,Honda,2004,9,Petrol,85037,250000,Chennai,20
S-Presso,Hatchback,Manual,2,7173,Maruti,2021,21.7,Petrol,2177,549000,Chennai,3
Ecosport,SUV,Manual,1,7357,Ford,2018,21.7,Diesel,40511,860000,Chennai,6
Venue,SUV,Manual,1,7924,Hyundai,2021,18,Petrol,30400,1145000,Chennai,3
WR-V,SUV,Manual,1,5670,Honda,2017,25.5,Diesel,75000,790000,Chennai,7
Kushaq,SUV,Automatic,1,8677,Skoda,2021,17.2,Petrol,27600,1650000,Chennai,3
Grand,Hatchback,Manual,1,1541,Hyundai,2015,24,Diesel,53908,475000,Chennai,9
E-Class,Sedan,Automatic,1,7579,Mercedes-Benz,2020,16.1,Diesel,30000,5700000,Chennai,4
GLE,SUV,Automatic,1,4651,Mercedes-Benz,2017,17.9,Diesel,46000,4950000,Chennai,7
Punch,SUV,Automatic,1,8663,Tata,2021,18.8,Petrol,9471,828999,Chennai,3
Tiago,Hatchback,Automatic,1,6972,Tata,2020,23.84,Petrol,12011,648000,Chennai,4
Vento,Sedan,Automatic,2,2009,Volkswagen,2011,14.4,Petrol,85000,375000,Chennai,13
Creta,SUV,Automatic,1,1452,Hyundai,2016,13,Petrol,27370,964000,Chennai,8
EON,Hatchback,Manual,2,1505,Hyundai,2016,21.1,Petrol,53098,288000,Chennai,8
RediGO,Hatchback,Manual,1,5234,Datsun,2019,22.7,Petrol,51680,340000,Chennai,5
City,Sedan,Automatic,2,5629,Honda,2018,18,Petrol,35821,906000,Chennai,6
Rover,Coupe,Automatic,2,4899,Land Rover,2013,12.07,Petrol,60000,3300000,Chennai,11
i20,Hatchback,Automatic,2,6445,Hyundai,2018,17.4,Petrol,39323,686000,Chennai,6
KWID,Hatchback,Manual,1,5094,Renault,2016,25.17,Petrol,60799,335000,Chennai,8
C-Class,Sedan,Automatic,2,4692,Mercedes-Benz,2014,14.84,Diesel,130000,1350000,Chennai,10
Camry,Sedan,Automatic,1,2123,Toyota,2014,19.16,Petrol,63000,1800000,Chennai,10
E-Class,Sedan,Automatic,1,7577,Mercedes-Benz,2017,17,Diesel,50000,4900000,Chennai,7
3,Sedan,Automatic,1,8275,BMW,2021,19.62,Diesel,22600,5750000,Chennai,3
Ciaz,Sedan,Manual,1,7408,Maruti,2021,20.65,Petrol,30000,900000,Chennai,3
Verna,Sedan,Manual,1,5967,Hyundai,2018,17,Petrol,58619,900000,Chennai,6
Ecosport,SUV,Manual,1,6087,Ford,2019,17,Petrol,23300,890000,Chennai,5
i20,Hatchback,Manual,3,1643,Hyundai,2010,17,Petrol,121032,280000,Chennai,14
i10,Hatchback,Manual,1,1568,Hyundai,2010,20.36,Petrol,91000,265000,Chennai,14
Seltos,SUV,Manual,1,7113,Kia,2020,20.8,Diesel,30000,1200000,Chennai,4
Baleno,Hatchback,Manual,2,3962,Maruti,2019,21.4,Petrol,82171,574000,Chennai,5
Tiago,Hatchback,Manual,1,8765,Tata,2022,19.18624891,Cng,18551,711000,Chennai,2
i20,Hatchback,Automatic,1,8151,Hyundai,2020,20.28,Petrol,35000,960000,Chennai,4
Alto,Hatchback,Manual,1,3923,Maruti,2016,24.7,Petrol,50252,273000,Chennai,8
Amaze,Sedan,Manual,2,6415,Honda,2019,19.5,Petrol,34715,593000,Chennai,5
Hector,SUV,Automatic,1,8022,MG,2020,13.96,Petrol,30197,1725000,Chennai,4
Creta,SUV,Manual,2,8179,Hyundai,2018,13,Petrol,79089,844999,Chennai,6
Sunny,Sedan,Manual,2,3349,Nissan,2011,16.95,Petrol,24035,300000,Chennai,13
Grand,Hatchback,Manual,1,8112,Hyundai,2020,26.2,Diesel,39605,735000,Chennai,4
Wagon,Hatchback,Automatic,1,4319,Maruti,2016,20.51,Petrol,66992,407000,Chennai,8
GLC,SUV,Automatic,1,7237,Mercedes-Benz,2021,19.18624891,Diesel,50000,5900000,Chennai,3
Celerio,Hatchback,Manual,1,7369,Maruti,2017,21.63,Petrol,29973,459999,Chennai,7
KWID,Hatchback,Manual,1,5093,Renault,2018,25.17,Petrol,49791,360000,Chennai,6
Hector,SUV,Automatic,1,6937,MG,2020,13.96,Petrol,52609,1650000,Chennai,4
Jazz,Hatchback,Manual,1,1355,Honda,2010,16,Petrol,70000,360000,Chennai,14
WR-V,SUV,Manual,1,6202,Honda,2018,17.5,Petrol,23000,700000,Chennai,6
Alto,Hatchback,Manual,1,3903,Maruti,2010,19.7,Petrol,52172,210000,Chennai,14
Creta,SUV,Manual,1,7698,Hyundai,2022,19.18624891,Diesel,29041,1825000,Chennai,2
Micra,Hatchback,Automatic,1,3293,Nissan,2017,19.34,Petrol,67022,484999,Chennai,7
A8,Sedan,Automatic,1,6720,Audi,2021,11.7,Petrol,9900,9000000,Chennai,3
Ameo,Sedan,Manual,2,1882,Volkswagen,2016,21.66,Diesel,103651,513000,Chennai,8
Amaze,Sedan,Automatic,1,1169,Honda,2016,15.5,Petrol,49682,520000,Chennai,8
XC60,SUV,Automatic,1,2097,Volvo,2018,14.7,Diesel,31000,4800000,Chennai,6
KWID,Hatchback,Manual,3,5096,Renault,2018,25.17,Petrol,53751,305000,Chennai,6
Alto,Hatchback,Manual,2,7073,Maruti,2015,22.05,Petrol,111283,238000,Chennai,9
Ecosport,SUV,Manual,2,908,Ford,2013,22.7,Diesel,63000,540000,Chennai,11
GO,MUV,Manual,1,5229,Datsun,2016,19.44,Petrol,52509,362000,Chennai,8
Micra,Hatchback,Manual,1,3290,Nissan,2017,23.08,Diesel,69319,459999,Chennai,7
Celerio,Hatchback,Manual,1,10356,Maruti,2018,25.24,Petrol,89191,451000,Chennai,6
KUV,SUV,Manual,1,3557,Mahindra,2017,25.32,Diesel,123152,442000,Chennai,7
A6,Sedan,Automatic,2,49,Audi,2013,17.68,Diesel,65000,1480000,Chennai,11
Amaze,Sedan,Manual,1,1164,Honda,2014,25.8,Diesel,116413,430000,Chennai,10
A6,Sedan,Automatic,1,37,Audi,2015,15.26,Petrol,56000,2290000,Chennai,9
A6,Sedan,Automatic,1,5386,Audi,2015,15.26,Petrol,78000,2089999,Chennai,9
GLE,SUV,Automatic,1,6732,Mercedes-Benz,2020,19.18624891,Diesel,30000,7500000,Chennai,4
AMG,SUV,Automatic,1,8567,Mercedes-Benz,2022,19.18624891,Petrol,2000,6450000,Chennai,2
AMG,Sedan,Automatic,1,8566,Mercedes-Benz,2022,19.18624891,Petrol,300,5900000,Chennai,2
Venue,SUV,Manual,1,9153,Hyundai,2022,19.18624891,Petrol,11600,950000,Chennai,2
Hector,SUV,Manual,1,7484,MG,2021,15.81,Petrol,18377,1750000,Chennai,3
City,Sedan,Automatic,2,1246,Honda,2010,16.8,Petrol,97000,365000,Chennai,14
EON,Hatchback,Manual,1,1502,Hyundai,2015,21.1,Petrol,75184,287000,Chennai,9
Swift,Sedan,Manual,2,10244,Maruti,2014,22.41,Petrol,49387,437000,Chennai,10
i10,Hatchback,Manual,1,1568,Hyundai,2011,20.36,Petrol,81000,310000,Chennai,13
Wagon,Hatchback,Manual,1,4350,Maruti,2010,18.9,Petrol,80320,287000,Chennai,14
Rapid,Sedan,Automatic,1,7983,Skoda,2021,16.24,Petrol,8608,1202000,Chennai,3
Verna,Sedan,Automatic,1,5966,Hyundai,2018,17,Petrol,23000,975000,Chennai,6
Terrano,SUV,Manual,3,3362,Nissan,2015,19.01,Diesel,96892,515000,Chennai,9
Duster,SUV,Manual,1,5080,Renault,2016,19.87,Diesel,75000,665000,Chennai,8
Alto,Hatchback,Manual,1,7073,Maruti,2016,22.05,Petrol,61237,279000,Chennai,8
Magnite,SUV,Manual,1,8132,Nissan,2021,20,Petrol,32806,766000,Chennai,3
KWID,Hatchback,Manual,1,5097,Renault,2019,23.01,Petrol,52138,380000,Chennai,5
Ameo,Sedan,Manual,1,6384,Volkswagen,2016,19.44,Petrol,37429,520000,Chennai,8
Wagon,Hatchback,Manual,2,6740,Maruti,2010,21.79,Petrol,78978,260000,Chennai,14
Fortuner,SUV,Manual,2,2251,Toyota,2012,13,Diesel,100000,1475000,Chennai,12
M-Class,SUV,Automatic,2,4663,Mercedes-Benz,2014,15.26,Diesel,96000,1975000,Chennai,10
Kodiaq,SUV,Automatic,1,5357,Skoda,2018,16.25,Diesel,69000,2800000,Chennai,6
Brio,Hatchback,Manual,1,1192,Honda,2015,19.4,Petrol,52044,450000,Chennai,9
A3,Sedan,Automatic,1,5738,Audi,2019,19.2,Petrol,37000,2425000,Chennai,5
Triber,MUV,Manual,1,7421,Renault,2023,20,Petrol,8541,840000,Chennai,1
Rapid,Sedan,Automatic,2,3156,Skoda,2019,14.84,Petrol,30000,710000,Chennai,5
Celerio,Hatchback,Automatic,1,6043,Maruti,2018,21.63,Petrol,44768,459000,Chennai,6
Ecosport,SUV,Manual,1,7349,Ford,2020,15.9,Petrol,27062,769000,Chennai,4
Verna,Sedan,Manual,1,5967,Hyundai,2018,17,Petrol,46973,900000,Chennai,6
Virtus,Sedan,Manual,1,9141,Volkswagen,2022,19.4,Petrol,22239,1277000,Chennai,2
Nexon,SUV,Manual,1,7387,Tata,2021,17.57,Petrol,16455,969000,Chennai,3
5,Sedan,Automatic,1,250,BMW,2021,20.37,Diesel,20000,6000000,Chennai,3
Altroz,Hatchback,Automatic,1,8908,Tata,2022,18.5,Petrol,5107,942000,Chennai,2
Grand,Hatchback,Manual,1,7091,Hyundai,2022,20.7,Petrol,34000,690000,Chennai,2
Compass,SUV,Automatic,1,5934,Jeep,2018,16,Petrol,88923,1256000,Chennai,6
Wagon,Hatchback,Manual,2,4350,Maruti,2013,18.9,Petrol,94581,288000,Chennai,11
Rover,SUV,Automatic,1,5922,Land Rover,2017,18,Diesel,71000,3600000,Chennai,7
i20,Hatchback,Manual,1,8159,Hyundai,2021,20,Petrol,30924,950000,Chennai,3
Alto,Hatchback,Manual,2,3958,Maruti,2011,20.92,Petrol,58747,222000,Chennai,13
Alto,Hatchback,Manual,1,3903,Maruti,2012,19.7,Petrol,63697,235000,Chennai,12
WR-V,SUV,Manual,1,5670,Honda,2017,25.5,Diesel,53000,890000,Chennai,7
Ecosport,SUV,Manual,1,7356,Ford,2016,21.7,Diesel,43000,660000,Chennai,8
Camry,Sedan,Automatic,1,6763,Toyota,2020,19.16,Petrol,21000,3900000,Chennai,4
Amaze,Sedan,Manual,2,1164,Honda,2013,25.8,Diesel,108513,380000,Chennai,11
Rapid,Sedan,Automatic,1,3136,Skoda,2015,21.66,Diesel,91000,675000,Chennai,9
ES,Sedan,Automatic,1,4918,Lexus,2018,22.37,Petrol,37000,5000000,Chennai,6
WR-V,SUV,Manual,1,7896,Honda,2021,23.7,Diesel,71721,971000,Chennai,3
KWID,Hatchback,Manual,1,5375,Renault,2019,23.01,Petrol,39276,352000,Chennai,5
XF,Sedan,Automatic,1,5439,Jaguar,2014,19.33,Diesel,35000,2300000,Chennai,10
Vitara,SUV,Automatic,1,6392,Maruti,2019,24.3,Diesel,85616,866000,Chennai,5
Etios,Sedan,Manual,1,2175,Toyota,2016,16.78,Petrol,56380,508000,Chennai,8
i20,Hatchback,Manual,3,1627,Hyundai,2009,18.5,Petrol,83000,260000,Chennai,15
Vitara,SUV,Manual,1,4299,Maruti,2016,24.3,Diesel,66211,796000,Chennai,8
A3,Sedan,Automatic,1,5738,Audi,2019,19.2,Petrol,37000,2480000,Chennai,5
Grand,Hatchback,Manual,1,1524,Hyundai,2016,18.9,Petrol,60662,434000,Chennai,8
Punch,SUV,Automatic,1,8663,Tata,2021,18.8,Petrol,24140,782000,Chennai,3
A6,Sedan,Automatic,1,5386,Audi,2015,15.26,Petrol,56000,2089999,Chennai,9
Q3,SUV,Automatic,1,5902,Audi,2017,16.9,Petrol,47000,2480000,Chennai,7
Q3,SUV,Automatic,1,5905,Audi,2016,15.73,Diesel,54700,1989999,Chennai,8
i20,Hatchback,Automatic,1,8151,Hyundai,2021,20.28,Petrol,27000,1090000,Chennai,3
Beat,Hatchback,Manual,2,440,Chevrolet,2013,25.44,Diesel,63000,350000,Chennai,11
X1,SUV,Automatic,1,339,BMW,2019,20.68,Diesel,65000,3375000,Chennai,5
A6,Sedan,Automatic,4,58,Audi,2013,14.57,Diesel,81000,994999,Chennai,11
GL-Class,SUV,Automatic,2,4634,Mercedes-Benz,2014,11.3,Diesel,94000,2480000,Chennai,10
Carens,MUV,Automatic,1,8787,Kia,2022,16.5,Petrol,11000,1950000,Chennai,2
Virtus,Sedan,Automatic,1,9144,Volkswagen,2022,18.12,Petrol,12901,1621000,Chennai,2
GO,Hatchback,Automatic,1,7204,Datsun,2019,19.59,Petrol,29708,471000,Chennai,5
Astor,SUV,Automatic,1,8724,MG,2021,14.85,Petrol,22186,1689999,Chennai,3
GO,MUV,Manual,1,6654,Datsun,2019,19.02,Petrol,71413,396000,Chennai,5
i20,Hatchback,Manual,3,1641,Hyundai,2011,17,Petrol,50046,301000,Chennai,13
Seltos,SUV,Automatic,1,7120,Kia,2019,16.2,Petrol,57600,1490000,Chennai,5
GO,Hatchback,Manual,2,6651,Datsun,2019,19.83,Petrol,46116,393000,Chennai,5
Q2,SUV,Automatic,1,8108,Audi,2020,19.18624891,Petrol,11700,2680000,Chennai,4
New,SUV,Automatic,1,8311,Tata,2021,14.08,Diesel,24602,1891000,Chennai,3
Polo,Hatchback,Manual,1,6299,Volkswagen,2018,18.78,Petrol,81454,555000,Chennai,6
3,Sedan,Automatic,1,7104,BMW,2022,16.13,Petrol,6000,6000000,Chennai,2
Ecosport,SUV,Automatic,1,6088,Ford,2019,14.8,Petrol,37655,990000,Chennai,5
A4,Sedan,Automatic,2,17,Audi,2013,17.11,Diesel,73000,1390000,Chennai,11
Vento,Sedan,Manual,1,8114,Volkswagen,2017,16.09,Petrol,15100,850000,Chennai,7
Q3,SUV,Automatic,2,5904,Audi,2016,15.17,Diesel,70000,2425000,Chennai,8
Q3,SUV,Automatic,2,90,Audi,2016,15.17,Diesel,75000,2350000,Chennai,8
Q3,SUV,Automatic,0,9291,Audi,2022,19.18624891,Petrol,15000,4400000,Chennai,2
Sonet,SUV,Manual,1,8006,Kia,2020,18.2,Petrol,23700,1050000,Chennai,4
Kiger,SUV,Manual,0,8358,Renault,2022,20.5,Petrol,7087,972000,Chennai,2
Grand,Hatchback,Manual,1,7094,Hyundai,2020,20.7,Petrol,40000,725000,Chennai,4
KWID,Hatchback,Manual,2,5094,Renault,2016,25.17,Petrol,58155,316000,Chennai,8
Ecosport,SUV,Automatic,3,6088,Ford,2020,14.8,Petrol,30015,860000,Chennai,4
Aura,Sedan,Automatic,1,7331,Hyundai,2022,20.1,Petrol,5239,890000,Chennai,2
i10,Hatchback,Manual,2,1568,Hyundai,2011,20.36,Petrol,62606,250999,Chennai,13
Tiago,Hatchback,Manual,1,2983,Tata,2017,23.84,Petrol,65287,433000,Chennai,7
A3,Sedan,Automatic,2,6,Audi,2019,20.38,Diesel,12000,3200000,Chennai,5
Ciaz,Sedan,Automatic,1,6557,Maruti,2018,28.09,Diesel,50267,715000,Chennai,6
Alto,Hatchback,Automatic,1,3950,Maruti,2015,23.95,Petrol,87277,345000,Chennai,9
SX4,SUV,Manual,1,7525,Maruti,2021,18.55,Petrol,11323,855000,Chennai,3
Celerio,Hatchback,Automatic,1,10360,Maruti,2016,26,Petrol,90487,365000,Chennai,8
Zen,Hatchback,Manual,1,4401,Maruti,2010,19,Petrol,55405,220000,Chennai,14
3,Sedan,Automatic,1,8275,BMW,2022,19.62,Diesel,15000,6075000,Chennai,2
