model,Body_Type,transmission,No_of_owners,centralVariantId,oem,modelYear,Mileage,Fuel_Type,Kilometer,price,City,Car_Age
GO,Hatchback,Manual,1,6648,Datsun,2019,19.02,Petrol,84564,401000,Chennai,5
E-Class,Sedan,Automatic,2,4622,Mercedes-Benz,2013,13,Diesel,60001,2150000,Chennai,11
Santro,Hatchback,Manual,1,6666,Hyundai,2018,20.3,Petrol,23462,505000,Chennai,6
Taigun,SUV,Automatic,1,8611,Volkswagen,2022,18.41,Petrol,13000,1599000,Chennai,2
Amaze,Sedan,Automatic,1,6422,Honda,2019,23.8,Diesel,54658,830000,Chennai,5
XUV300,SUV,Manual,1,7242,Mahindra,2020,16.82,Petrol,34164,1036000,Chennai,4
Seltos,SUV,Manual,1,8425,Kia,2022,16.8,Petrol,10000,1595000,Chennai,2
Punto,Hatchback,Manual,3,5280,Fiat,2010,14.6,Petrol,70000,100000,Chennai,14
Venue,SUV,Manual,1,7673,Hyundai,2020,17.52,Petrol,37000,825000,Chennai,4
XUV700,SUV,Automatic,1,8638,Mahindra,2022,19.18624891,Diesel,20000,2900000,Chennai,2
Baleno,Hatchback,Manual,1,3970,Maruti,2016,21.4,Petrol,53967,550000,Chennai,8
i10,Hatchback,Manual,1,1568,Hyundai,2011,20.36,Petrol,52700,299000,Chennai,13
Nexon,SUV,Automatic,1,6388,Tata,2018,17,Petrol,60000,750000,Chennai,6
Baleno,Hatchback,Manual,1,3970,Maruti,2016,21.4,Petrol,53967,550000,Chennai,8
Amaze,Sedan,Manual,2,7439,Honda,2014,18.6,Petrol,99225,375000,Chennai,10
Linea,Sedan,Manual,2,775,Fiat,2011,16,Petrol,60000,265000,Chennai,13
Jazz,Hatchback,Automatic,1,7977,Honda,2020,17.1,Petrol,48220,808000,Chennai,4
Jazz,Hatchback,Manual,1,1341,Honda,2016,18.7,Petrol,72024,542000,Chennai,8
Amaze,Sedan,Automatic,1,1169,Honda,2016,15.5,Petrol,80000,529000,Chennai,8
Polo,Hatchback,Manual,1,6004,Volkswagen,2017,16.2,Petrol,78735,684000,Chennai,7
Ecosport,SUV,Manual,2,6093,Ford,2018,23,Diesel,72955,813000,Chennai,6
Ciaz,Sedan,Automatic,1,5726,Maruti,2015,19.12,Petrol,40000,650000,Chennai,9
Compass,SUV,Manual,1,7012,Jeep,2021,14.3,Petrol,14037,1802000,Chennai,3
i20,Hatchback,Manual,1,7470,Hyundai,2019,18.6,Petrol,29000,745000,Chennai,5
Baleno,Hatchback,Manual,1,3969,Maruti,2017,21.4,Petrol,69864,619000,Chennai,7
Xcent,Sedan,Manual,1,5785,Hyundai,2019,20.14,Petrol,35739,650000,Chennai,5
Jazz,Hatchback,Automatic,2,1340,Honda,2016,19,Petrol,120000,500000,Chennai,8
Ertiga,MUV,Manual,1,4043,Maruti,2019,24.52,Diesel,18000,1145000,Chennai,5
Harrier,SUV,Manual,1,7503,Tata,2019,16.35,Diesel,21000,1600000,Chennai,5
Baleno,Hatchback,Manual,1,3962,Maruti,2016,21.4,Petrol,70404,540000,Chennai,8
Vento,Sedan,Manual,1,1999,Volkswagen,2015,16.09,Petrol,63000,675000,Chennai,9
Ameo,Sedan,Manual,2,6305,Volkswagen,2017,17,Petrol,88000,509999,Chennai,7
City,Sedan,Manual,1,5628,Honda,2017,17.4,Petrol,65000,830000,Chennai,7
Rover,SUV,Automatic,2,4860,Land Rover,2017,12.51,Diesel,30000,3900000,Chennai,7
City,Sedan,Automatic,1,1265,Honda,2012,15.6,Petrol,71423,509999,Chennai,12
XL6,MUV,Automatic,1,7100,Maruti,2019,17.99,Petrol,80000,1200000,Chennai,5
City,Sedan,Manual,1,1215,Honda,2017,17.8,Petrol,85759,766000,Chennai,7
Santro,Hatchback,Manual,1,7029,Hyundai,2019,20.3,Petrol,24422,449000,Chennai,5
Verna,Sedan,Manual,4,5967,Hyundai,2017,17,Petrol,90000,750000,Chennai,7
Brio,Hatchback,Manual,2,1204,Honda,2012,19.4,Petrol,67091,317000,Chennai,12
Hector,SUV,Manual,1,7484,MG,2020,15.81,Petrol,72787,1560000,Chennai,4
Endeavour,SUV,Manual,2,913,Ford,2017,13.5,Diesel,120000,1900000,Chennai,7
Grand,Hatchback,Manual,1,5605,Hyundai,2017,18.9,Petrol,90142,522000,Chennai,7
i20,Hatchback,Manual,1,1482,Hyundai,2015,18.6,Petrol,150000,500000,Chennai,9
Freestyle,Hatchback,Manual,1,6336,Ford,2018,19,Petrol,33256,627000,Chennai,6
Baleno,Hatchback,Automatic,1,5920,Maruti,2018,21.4,Petrol,70027,687000,Chennai,6
Sonata,Sedan,Manual,3,1761,Hyundai,2007,13.6,Diesel,120000,204999,Chennai,17
Polo,Hatchback,Manual,2,1946,Volkswagen,2015,16.2,Petrol,60000,525000,Chennai,9
Swift,Hatchback,Manual,1,4164,Maruti,2017,25.2,Diesel,73686,620000,Chennai,7
TUV,SUV,Manual,2,3755,Mahindra,2018,18.49,Diesel,44000,825000,Chennai,6
Swift,Hatchback,Manual,1,7084,Maruti,2015,21.21,Petrol,75581,530000,Chennai,9
M-Class,SUV,Automatic,1,4663,Mercedes-Benz,2015,15.26,Diesel,58000,3600000,Chennai,9
A3,Sedan,Automatic,2,5741,Audi,2015,20.38,Diesel,50000,1950000,Chennai,9
TUV,SUV,Manual,1,3755,Mahindra,2015,18.49,Diesel,100000,650000,Chennai,9
