model,Body,transmission,owners,VIN,model_year,Mileage,Fuel,Kilometer,price,City,Car_Age,model_encoded,Body_encoded,transmission_encoded,Fuel_encoded,price_encoded,City_encoded
0.612903226,0.888888889,1,1,0.515189759,2017,0.779013719,0.25,0.727423076,850000,0.2,0.157894737,19,8,1,1,1268,1
0.903225806,0.777777778,1,1,0.539709727,2018,0.367816092,1,0.680022074,707000,0.2,0.131578947,28,7,1,4,1116,1
0.967741935,0.222222222,1,1,0.697557018,2019,0.395253986,1,0.677726067,680000,0.2,0.105263158,30,2,1,4,1061,1
0.161290323,0.222222222,1,1,0.598846119,2019,0.442714127,1,0.730997844,401000,0.2,0.105263158,5,2,1,4,699,1
0.322580645,0.222222222,1,1,0.600468764,2018,0.490174268,1,0.648389959,505000,0.2,0.131578947,10,2,1,4,846,1
0.967741935,0.777777778,0,1,0.775804561,2022,0.420096403,1,0.610349457,1599000,0.2,0.026315789,30,7,0,4,281,1
0.290322581,0.888888889,0,1,0.578472911,2019,0.61994809,0.25,0.702879332,830000,0.2,0.105263158,9,8,0,1,1249,1
0.580645161,0.777777778,1,1,0.652393401,2020,0.36114201,1,0.672601992,1036000,0.2,0.078947368,18,7,1,4,98,1
0.451612903,0.777777778,1,1,0.759037231,2022,0.360400445,1,0.593446312,1595000,0.2,0.026315789,14,7,1,4,278,1
0.193548387,0.222222222,1,3,0.475525106,2010,0.278828328,1,0.718819507,100000,0.2,0.342105263,6,2,1,4,0,1
0.322580645,0.777777778,1,1,0.691246732,2020,0.387096774,1,0.67774,825000,0.2,0.078947368,10,7,1,4,1245,1
0.612903226,0.222222222,1,1,0.357432615,2016,0.530960326,1,0.70205959,550000,0.2,0.184210526,19,2,1,4,891,1
0.322580645,0.222222222,1,1,0.140899666,2011,0.492398962,1,0.700528891,299000,0.2,0.315789474,10,2,1,4,454,1
0.903225806,0.777777778,0,1,0.575407915,2018,0.367816092,1,0.708887437,750000,0.2,0.131578947,28,7,0,4,1158,1
